,Initial,Final,Start,End
0,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
1,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
2,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
3,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
4,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
5,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
6,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
7,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
8,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
9,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
10,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
11,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
12,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
13,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
14,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
15,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
16,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
17,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
18,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
19,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
20,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
21,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
22,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
23,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
24,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
25,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
26,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
27,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
28,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
29,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
30,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
31,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
32,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
33,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
34,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
35,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
36,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
37,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
38,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
39,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
40,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
41,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
42,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
43,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
44,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
45,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
46,,,2023-06-07 15:15:07.885602,2023-06-07 15:15:07.885602
